aid	aircrafttype	tasktype	standpointid	runwayid	startime	P
T18540	1	0	P_1138	34	1642672921	P_34
T18541	1	0	P_263	33	1642673057	P_1151
T7047	1	1	P_264	33	1642673177	P_1299,P_1297_1
T18542	1	0	P_305	34	1642673304	P_34
T18543	1	0	P_112	34	1642673436	P_39
T18544	1	0	P_1498	33	1642673597	P_912
T18545	2	0	P_298	33	1642673841	P_994
T18546	1	0	P_107	34	1642674010	P_34
T18547	1	0	P_1485	33	1642674128	P_912
T18548	1	0	P_1014	34	1642674277	P_34
T7048	1	1	P_1418	33	1642674344	P_1375_1
T7049	1	1	P_297	15	1642674378	P_565_1,P_563_1
T18549	1	0	P_267	34	1642674407	P_34
T18550	1	0	P_199	34	1642674510	P_34
T18551	1	0	P_278	33	1642674608	P_1163
T18552	1	0	P_300	34	1642674748	P_34
T18553	1	0	P_197	34	1642674848	P_34
T18554	2	0	P_273	34	1642674975	P_34
T7050	1	1	P_787	15	1642675000	P_572_1,P_575_1
T18555	1	0	P_317	33	1642675123	P_1163
T7051	1	1	P_53	15	1642675498	P_565_1,P_563_1
T18556	1	0	P_408	16	1642675515	P_505
T18557	1	0	P_303	16	1642675612	P_505
T18558	1	0	P_1235	16	1642675803	P_505
T18559	1	0	P_1131	16	1642675999	P_1037
T7052	1	1	P_301	15	1642676046	P_565_1,P_563_1
T7053	1	1	P_195	15	1642676261	P_565_1,P_563_1
T18560	1	0	P_312	16	1642676269	P_1037
T18561	1	0	P_1132	16	1642676563	P_1037
T18562	1	0	P_1208	16	1642676694	P_505
T7055	1	1	P_306	15	1642676736	P_565_1,P_563_1
T7056	1	1	P_268	15	1642676824	P_565_1,P_563_1
T7054	1	1	P_99	15	1642676835	P_565_1,P_563_1
T18563	1	0	P_266	16	1642676857	P_1037
T18564	1	0	P_787	16	1642677005	P_1037
T7057	1	1	P_304	15	1642677063	P_565_1,P_563_1
T18565	1	0	P_93	16	1642677114	P_1037
T18566	1	0	P_520	16	1642677324	P_1037
T18567	1	0	P_1127	15	1642677511	P_1541
T7058	1	1	P_305	15	1642677653	P_565_1,P_563_1
T18568	1	0	P_1192	15	1642677771	P_1532
T18569	1	0	P_531	15	1642678016	P_1541
T18570	1	0	P_318	16	1642678267	P_1037
T7059	1	1	P_265	15	1642678522	P_565_1,P_563_1
T18571	1	0	P_53	16	1642678596	P_1037
T7060	2	1	P_298	15	1642678876	P_565_1,P_563_1
T18572	1	0	P_268	16	1642678913	P_505
T18573	1	0	P_276	16	1642679155	P_1037
T7061	1	1	P_196	15	1642679253	P_565_1,P_563_1
T18574	1	0	P_299	16	1642679311	P_1037
T7062	1	1	P_229	15	1642679370	P_565_1,P_563_1
T18575	1	0	P_89	16	1642679455	P_1037
T7063	2	1	P_273	15	1642679540	P_565_1,P_563_1
T7064	1	1	P_275	15	1642679587	P_565_1,P_563_1
T18576	1	0	P_264	16	1642679595	P_1037
T18577	1	0	P_277	16	1642679785	P_505
T18578	1	0	P_412	16	1642680048	P_1037
T7066	2	1	P_1483	15	1642680235	P_572_1,P_575_1
T18579	1	0	P_301	16	1642680328	P_1037
T18580	1	0	P_533	16	1642680483	P_1037
T7065	1	1	P_199	15	1642680491	P_565_1,P_563_1
T18581	1	0	P_195	16	1642680614	P_505
T18582	1	0	P_58	16	1642680755	P_505
T7067	1	1	P_300	15	1642680771	P_565_1,P_563_1
T7069	1	1	P_1132	15	1642680873	P_565_1,P_563_1
T18583	1	0	P_206	16	1642680899	P_505
T18584	1	0	P_230	16	1642681054	P_1037
T7068	1	1	P_312	15	1642681141	P_565_1,P_563_1
T7071	1	1	P_278	15	1642681383	P_565_1,P_563_1
T18585	1	0	P_229	16	1642681389	P_505
T7070	1	1	P_197	15	1642681512	P_565_1,P_563_1
T18586	1	0	P_99	16	1642681530	P_1037
T18587	1	0	P_86	16	1642681771	P_1037
T18588	1	0	P_1130	16	1642681874	P_505
T18589	1	0	P_196	16	1642682010	P_505
T18590	1	0	P_300	16	1642682201	P_505
T7073	1	1	P_1131	15	1642682272	P_565_1,P_563_1
T18591	2	0	P_1367	15	1642682471	P_1541
T7072	1	1	P_266	15	1642682492	P_565_1,P_563_1
T18592	1	0	P_275	16	1642682550	P_1037
T18593	1	0	P_312	16	1642682677	P_1037
T18594	1	0	P_311	16	1642682863	P_1037
T7076	1	1	P_276	15	1642682934	P_565_1,P_563_1
T7074	1	1	P_1127	15	1642682964	P_565_1,P_563_1
T18595	1	0	P_308	16	1642683072	P_1037
T7075	1	1	P_302	15	1642683102	P_565_1,P_563_1
T18596	1	0	P_265	16	1642683317	P_1037
T18597	2	0	P_306	16	1642683434	P_1037
