aid	aircrafttype	tasktype	standpointid	runwayid	startime	P
T7864	1	1	P_310	15	1642889131	P_565_1,P_563_1
T7866	1	1	P_1483	15	1642889182	P_572_1,P_575_1
T19421	2	0	P_827	15	1642889208	P_1532
T7868	1	1	P_403	15	1642889849	P_565_1,P_563_1
T7867	1	1	P_206	15	1642889873	P_565_1,P_563_1
T7869	1	1	P_411	15	1642890120	P_565_1,P_563_1
T7870	1	1	P_271	15	1642890227	P_565_1,P_563_1
T7871	1	1	P_279	15	1642890227	P_565_1,P_563_1
T7876	1	1	P_1268	15	1642890464	P_572_1,P_575_1
T7873	1	1	P_263	15	1642890656	P_565_1,P_563_1
T7872	1	1	P_312	15	1642890696	P_565_1,P_563_1
T7877	2	1	P_1427	15	1642890886	P_572_1,P_575_1
T7874	1	1	P_268	15	1642891031	P_565_1,P_563_1
T7875	1	1	P_58	15	1642891289	P_565_1,P_563_1
T7879	2	1	P_319	15	1642891310	P_565_1,P_563_1
T19422	1	0	P_928	15	1642891399	P_1532
T7880	1	1	P_410	15	1642891469	P_565_1,P_563_1
T7881	1	1	P_197	15	1642891669	P_565_1,P_563_1
T7882	1	1	P_532	15	1642891719	P_565_1,P_563_1
T7884	1	1	P_1499	15	1642891865	P_572_1,P_575_1
T7883	1	1	P_274	15	1642891934	P_565_1,P_563_1
T19423	1	0	P_957	15	1642892085	P_1532
T7878	1	1	P_928	15	1642892253	P_572_1,P_575_1
T7885	1	1	P_306	15	1642892318	P_565_1,P_563_1
T7886	1	1	P_322	15	1642892694	P_565_1,P_563_1
T7888	1	1	P_1126	15	1642892827	P_565_1,P_563_1
T7889	1	1	P_299	15	1642892844	P_565_1,P_563_1
T7887	1	1	P_97	15	1642892957	P_565_1,P_563_1
T7890	1	1	P_1207	15	1642893115	P_572_1,P_575_1
T7891	1	1	P_195	15	1642893393	P_565_1,P_563_1
T7892	1	1	P_1244	15	1642893658	P_572_1,P_575_1
T7893	1	1	P_199	15	1642893665	P_565_1,P_563_1
T7894	1	1	P_1131	15	1642893866	P_565_1,P_563_1
T7895	1	1	P_280	15	1642894093	P_565_1,P_563_1
T19424	1	0	P_1128	16	1642894179	P_1037
T7896	1	1	P_1003	15	1642894224	P_565_1,P_563_1
T19425	1	0	P_197	16	1642894408	P_1037
T19426	1	0	P_1452	15	1642894624	P_1532
T7897	1	1	P_305	15	1642894804	P_565_1,P_563_1
T7898	1	1	P_200	15	1642894828	P_565_1,P_563_1
T7904	1	1	P_302	15	1642895148	P_565_1,P_563_1
T7900	1	1	P_54	15	1642895175	P_565_1,P_563_1
T7902	1	1	P_1235	15	1642895182	P_572_1,P_575_1
T7899	1	1	P_92	15	1642895289	P_565_1,P_563_1
T19427	2	0	P_1272	16	1642895289	P_1033
T19428	2	0	P_828	15	1642895428	P_1227
T7901	1	1	P_86	15	1642895533	P_565_1,P_563_1
T7903	1	1	P_945	15	1642895564	P_572_1,P_575_1
T7905	2	1	P_517	15	1642895641	P_565_1,P_563_1
T19429	1	0	P_946	15	1642895823	P_1532
T7907	1	1	P_1344	15	1642895977	P_565_1,P_563_1
T7906	1	1	P_110	15	1642896017	P_565_1,P_563_1
T19430	1	0	P_305	16	1642896076	P_1037
T19431	1	0	P_1453	15	1642896175	P_1532
T7909	1	1	P_521	15	1642896329	P_565_1,P_563_1
T7908	1	1	P_309	15	1642896596	P_565_1,P_563_1
T7910	1	1	P_98	15	1642896605	P_565_1,P_563_1
T7911	1	1	P_1523	15	1642896640	P_572_1,P_575_1
T19432	1	0	P_1499	15	1642896735	P_1532
T7915	1	1	P_278	15	1642896827	P_565_1,P_563_1
T19433	1	0	P_928	15	1642896863	P_1532
T7913	1	1	P_1255	15	1642896878	P_572_1,P_575_1
T7912	1	1	P_300	15	1642896896	P_565_1,P_563_1
T7914	1	1	P_269	15	1642896936	P_565_1,P_563_1
T19434	1	0	P_1486	15	1642897021	P_1532
T7916	1	1	P_263	15	1642897151	P_565_1,P_563_1
T19435	1	0	P_199	16	1642897171	P_1037
T19436	1	0	P_1509	15	1642897254	P_1532
T7917	1	1	P_301	15	1642897294	P_565_1,P_563_1
T19437	1	0	P_935	15	1642897343	P_1532
T7918	1	1	P_107	15	1642897412	P_565_1,P_563_1
T7919	1	1	P_308	15	1642897458	P_565_1,P_563_1
T19438	1	0	P_410	16	1642897536	P_1037
T7920	1	1	P_1425	15	1642897537	P_572_1,P_575_1
T7924	1	1	P_1129	15	1642897555	P_565_1,P_563_1
T7922	1	1	P_275	15	1642897581	P_565_1,P_563_1
T19439	1	0	P_412	16	1642897635	P_1037
T19440	1	0	P_791	15	1642897695	P_1532
T7921	1	1	P_112	15	1642897841	P_565_1,P_563_1
T19441	2	0	P_306	16	1642897852	P_1033
T7925	1	1	P_534	15	1642898056	P_565_1,P_563_1
T7923	1	1	P_127	15	1642898076	P_565_1,P_563_1
T7926	1	1	P_409	15	1642898242	P_565_1,P_563_1
T7927	1	1	P_298	15	1642898511	P_565_1,P_563_1
T7928	1	1	P_124	15	1642898528	P_565_1,P_563_1
T19442	1	0	P_279	16	1642898634	P_1037
T7929	1	1	P_266	15	1642899101	P_565_1,P_563_1
T7930	1	1	P_53	15	1642899144	P_565_1,P_563_1
T19443	1	0	P_1003	15	1642899274	P_1541
T19444	1	0	P_1129	16	1642899503	P_1037
T7933	1	1	P_273	15	1642899530	P_565_1,P_563_1
