aid	aircrafttype	tasktype	standpointid	runwayid	startime	P
T21136	1	0	P_205	16	1643266802	P_1037
T9685	1	1	P_264	15	1643266873	P_565_1,P_563_1
T9686	1	1	P_276	15	1643266933	P_565_1,P_563_1
T21137	1	0	P_302	16	1643267221	P_505
T21138	1	0	P_1015	16	1643267362	P_1037
T9687	1	1	P_267	15	1643267384	P_565_1,P_563_1
T21139	2	0	P_298	16	1643267427	P_1033
T9688	1	1	P_117	15	1643267541	P_565_1,P_563_1
T9689	1	1	P_100	15	1643267561	P_565_1,P_563_1
T21140	1	0	P_278	15	1643267584	P_1541
T21141	1	0	P_1046	16	1643267718	P_505
T21142	1	0	P_195	16	1643267952	P_1037
T9690	1	1	P_300	15	1643267968	P_565_1,P_563_1
T9692	2	1	P_102	15	1643268045	P_565_1,P_563_1
T21143	1	0	P_263	16	1643268072	P_1037
T9691	1	1	P_96	15	1643268081	P_565_1,P_563_1
T21144	1	0	P_118	16	1643268182	P_1037
T9696	1	1	P_297	15	1643268257	P_565_1,P_563_1
T21145	1	0	P_265	16	1643268302	P_1037
T9693	1	1	P_856	15	1643268331	P_572_1,P_575_1
T21146	1	0	P_1127	16	1643268422	P_1037
T9694	2	1	P_56	15	1643268460	P_565_1,P_563_1
T9697	1	1	P_274	15	1643268489	P_565_1,P_563_1
T9695	2	1	P_101	15	1643268534	P_565_1,P_563_1
T21147	1	0	P_322	16	1643268552	P_1037
T21148	1	0	P_207	16	1643268650	P_1037
T21150	1	0	P_268	16	1643268787	P_1037
T21149	1	0	P_264	15	1643268837	P_1541
T21151	2	0	P_1130	16	1643269007	P_1033
T9698	1	1	P_127	15	1643269105	P_565_1,P_563_1
T21152	1	0	P_279	16	1643269171	P_1037
T9700	1	1	P_318	15	1643269199	P_565_1,P_563_1
T9699	1	1	P_103	15	1643269210	P_565_1,P_563_1
T21153	1	0	P_301	16	1643269309	P_1037
T9701	1	1	P_277	15	1643269459	P_565_1,P_563_1
T21154	2	0	P_117	16	1643269478	P_1033
T9706	1	1	P_1124	15	1643269574	P_565_1,P_563_1
T21155	2	0	P_55	16	1643269622	P_1033
T9705	1	1	P_273	15	1643269682	P_565_1,P_563_1
T21156	1	0	P_1129	15	1643269750	P_1541
T21157	1	0	P_99	16	1643269868	P_1037
T9707	1	1	P_275	15	1643269896	P_565_1,P_563_1
T9702	2	1	P_306	15	1643270007	P_565_1,P_563_1
T9708	1	1	P_266	15	1643270037	P_565_1,P_563_1
T21158	1	0	P_52	16	1643270047	P_1037
T9703	1	1	P_302	15	1643270065	P_565_1,P_563_1
T9704	1	1	P_312	15	1643270096	P_565_1,P_563_1
T21159	1	0	P_100	16	1643270285	P_1037
T21160	1	0	P_101	16	1643270412	P_1037
T9710	2	1	P_270	15	1643270495	P_565_1,P_563_1
T21161	1	0	P_276	16	1643270662	P_1037
T9709	2	1	P_827	15	1643270670	P_572_1,P_575_1
T21162	1	0	P_266	15	1643270832	P_1541
T21163	2	0	P_1240	15	1643270931	P_1532
T21164	1	0	P_520	16	1643271138	P_505
T21165	2	0	P_127	16	1643271301	P_1033
T9711	1	1	P_263	15	1643271313	P_565_1,P_563_1
T9712	1	1	P_278	15	1643271335	P_565_1,P_563_1
T21166	1	0	P_1124	16	1643271452	P_1037
T9713	1	1	P_1015	15	1643271471	P_565_1,P_563_1
T21167	2	0	P_1425	16	1643271612	P_1033
T9716	1	1	P_118	15	1643271639	P_565_1,P_563_1
T9714	1	1	P_205	15	1643271650	P_565_1,P_563_1
T9715	1	1	P_280	15	1643271724	P_565_1,P_563_1
T21168	1	0	P_802	15	1643271727	P_1532
T21169	2	0	P_270	16	1643271844	P_1033
T21170	1	0	P_311	16	1643271993	P_505
T9719	2	1	P_1130	15	1643272028	P_565_1,P_563_1
T9718	1	1	P_521	15	1643272092	P_565_1,P_563_1
T21171	2	0	P_1485	15	1643272105	P_1227
T9717	1	1	P_195	15	1643272157	P_565_1,P_563_1
T21172	1	0	P_109	16	1643272209	P_1037
T21173	1	0	P_267	16	1643272357	P_1037
T21174	1	0	P_304	16	1643272503	P_1037
T9720	1	1	P_518	15	1643272513	P_565_1,P_563_1
T21175	1	0	P_302	15	1643272603	P_433
T9721	1	1	P_268	15	1643272660	P_565_1,P_563_1
T21176	1	0	P_309	16	1643272739	P_1037
T21177	1	0	P_300	16	1643272837	P_505
T9725	1	1	P_279	15	1643272947	P_565_1,P_563_1
T9723	1	1	P_52	15	1643272953	P_565_1,P_563_1
T21178	1	0	P_797	16	1643272958	P_1037
T21179	2	0	P_1128	16	1643273074	P_1033
T9724	1	1	P_265	15	1643273083	P_565_1,P_563_1
T9722	1	1	P_531	15	1643273160	P_565_1,P_563_1
T21180	1	0	P_196	15	1643273160	P_1541
T21181	1	0	P_313	16	1643273275	P_1037
T9726	1	1	P_301	15	1643273361	P_565_1,P_563_1
T21182	1	0	P_275	16	1643273397	P_1037
T9727	1	1	P_207	15	1643273511	P_565_1,P_563_1
T21183	1	0	P_308	16	1643273524	P_505
T21184	1	0	P_204	16	1643273677	P_1037
T9730	1	1	P_1132	15	1643273722	P_565_1,P_563_1
T21185	1	0	P_198	16	1643273798	P_1037
T9728	1	1	P_320	15	1643273878	P_565_1,P_563_1
T9729	1	1	P_229	15	1643273944	P_565_1,P_563_1
T21186	2	0	P_828	15	1643273951	P_1532
T21187	2	0	P_56	16	1643274035	P_1033
T21188	1	0	P_278	16	1643274191	P_1037
T9733	1	1	P_310	15	1643274237	P_565_1,P_563_1
T9731	1	1	P_1131	15	1643274248	P_565_1,P_563_1
T9732	1	1	P_206	15	1643274266	P_565_1,P_563_1
T21189	1	0	P_231	16	1643274300	P_1037
T21190	1	0	P_1499	15	1643274446	P_1532
T9734	1	1	P_1129	15	1643274554	P_565_1,P_563_1
T21191	1	0	P_277	15	1643274601	P_1541
T21192	2	0	P_273	16	1643274709	P_1033
T9735	2	1	P_69	15	1643274776	P_565_1,P_563_1
T9736	1	1	P_276	15	1643274828	P_565_1,P_563_1
T21193	1	0	P_103	16	1643274843	P_1037
T9737	1	1	P_1138	15	1643274904	P_565_1,P_563_1
T21194	1	0	P_265	15	1643275001	P_433
T9738	1	1	P_1046	15	1643275007	P_565_1,P_563_1
T21195	2	0	P_827	15	1643275079	P_1227
T9739	2	1	P_412	15	1643275107	P_565_1,P_563_1
T9740	1	1	P_109	15	1643275162	P_565_1,P_563_1
T21196	1	0	P_787	15	1643275230	P_1532
T9742	1	1	P_322	15	1643275293	P_565_1,P_563_1
T9741	2	1	P_298	15	1643275312	P_565_1,P_563_1
T21197	1	0	P_205	16	1643275323	P_1037
T21198	2	0	P_1130	16	1643275491	P_1033
T9743	1	1	P_302	15	1643275549	P_565_1,P_563_1
T21199	2	0	P_824	15	1643275574	P_1532
T21200	1	0	P_280	16	1643275685	P_1037
T21201	1	0	P_96	15	1643275808	P_1541
T21202	1	0	P_1132	16	1643275916	P_1037
T21203	1	0	P_310	16	1643276055	P_1037
T9744	1	1	P_300	15	1643276104	P_565_1,P_563_1
T21204	1	0	P_263	15	1643276148	P_1541
T21205	2	0	P_297	16	1643276371	P_1033
T9745	1	1	P_267	15	1643276511	P_565_1,P_563_1
T9746	1	1	P_196	15	1643276524	P_565_1,P_563_1
T21206	1	0	P_124	16	1643276538	P_1037
T9747	1	1	P_304	15	1643276614	P_565_1,P_563_1
T21207	1	0	P_207	16	1643276639	P_1037
T21208	1	0	P_206	15	1643276782	P_1541
T21209	1	0	P_268	16	1643276858	P_1037
T9748	1	1	P_198	15	1643276960	P_565_1,P_563_1
T9749	1	1	P_275	15	1643276966	P_565_1,P_563_1
T21210	2	0	P_1131	16	1643277001	P_1033
T9751	1	1	P_266	15	1643277079	P_565_1,P_563_1
T9750	2	1	P_127	15	1643277115	P_565_1,P_563_1
T21211	1	0	P_276	16	1643277164	P_1037
T9756	2	1	P_835	15	1643277175	P_572_1,P_575_1
T9752	1	1	P_532	15	1643277317	P_565_1,P_563_1
T21212	2	0	P_823	16	1643277350	P_1037
T9753	2	1	P_270	15	1643277390	P_565_1,P_563_1
T9754	1	1	P_230	15	1643277435	P_565_1,P_563_1
T21213	1	0	P_965	16	1643277448	P_1037
T9755	1	1	P_264	15	1643277478	P_565_1,P_563_1
T9757	1	1	P_308	15	1643277573	P_565_1,P_563_1
T21214	1	0	P_1508	16	1643277594	P_1037
