aid	aircrafttype	tasktype	standpointid	runwayid	startime	P
T16788	1	0	P_1455	16	1642186903	P_505
T16789	2	0	P_828	16	1642187061	P_1037
T5229	2	1	P_1427	16	1642187598	P_5_1,P_11
T16790	2	0	P_1480	16	1642187699	P_1033
T16791	1	0	P_1510	16	1642187989	P_505
T16792	1	0	P_1508	16	1642188847	P_1037
T5230	1	1	P_1453	16	1642188885	P_5_1,P_11
T16793	1	0	P_1511	16	1642189309	P_1037
T16794	1	0	P_1486	16	1642189654	P_1037
T16795	2	0	P_1403	16	1642190525	P_1033
T5231	2	1	P_1478	16	1642191088	P_5_1,P_11
T5232	1	1	P_1510	16	1642191349	P_5_1,P_11
T16796	1	0	P_965	16	1642191424	P_1037
T16797	1	0	P_939	16	1642191629	P_505
T5234	1	1	P_1498	16	1642192054	P_5_1,P_11
T5233	1	1	P_945	16	1642192222	P_5_1,P_11
T5235	1	1	P_1508	16	1642192554	P_5_1,P_11
T16798	1	0	P_796	16	1642192621	P_1037
T16799	1	0	P_1427	16	1642192963	P_1037
T5236	1	1	P_1499	16	1642192980	P_5_1,P_11
T16800	1	0	P_1510	16	1642193109	P_1037
T16801	1	0	P_1508	16	1642193300	P_505
T5237	1	1	P_1511	16	1642193938	P_5_1,P_11
T5238	1	1	P_1486	16	1642194511	P_5_1,P_11
T5239	1	1	P_1454	16	1642194857	P_5_1,P_11
T5243	1	1	P_1455	16	1642195126	P_5_1,P_11
T16802	1	0	P_1485	16	1642195199	P_1037
T5242	2	1	P_1272	16	1642195298	P_5_1,P_11
T5240	1	1	P_965	16	1642195367	P_5_1,P_11
T5241	1	1	P_939	16	1642195443	P_5_1,P_11
T16803	1	0	P_1498	16	1642195757	P_505
T5244	2	1	P_831	16	1642195820	P_5_1,P_11
T5245	2	1	P_1480	16	1642195927	P_5_1,P_11
T5246	2	1	P_1426	16	1642195969	P_5_1,P_11
T16804	1	0	P_945	16	1642196022	P_1037
T5247	1	1	P_263	16	1642196777	P_5_1,P_11
T16805	1	0	P_1511	16	1642197057	P_505
T16806	2	0	P_1426	16	1642197239	P_1033
T5248	1	1	P_206	33	1642197339	P_1299,P_1297_1
