aid	aircrafttype	tasktype	standpointid	runwayid	startime	P
T513	1	1	P_1244	33	1641096144	P_1375_1
T512	1	1	P_263	33	1641096277	P_1299,P_1297_1
T12014	1	0	P_957	34	1641096515	P_34
T12015	1	0	P_308	34	1641096760	P_39
T12016	1	0	P_1528	34	1641096995	P_34
T12017	1	0	P_1354	34	1641097247	P_34
T515	1	1	P_109	33	1641097278	P_1299,P_1297_1
T514	1	1	P_300	33	1641097290	P_1299,P_1297_1
T12018	1	0	P_1132	34	1641097462	P_34
T12019	2	0	P_1128	34	1641097590	P_21
T517	1	1	P_1529	33	1641097758	P_1375_1
T12020	1	0	P_301	34	1641097794	P_34
T516	1	1	P_311	33	1641097804	P_1299,P_1297_1
T518	1	1	P_864	33	1641097812	P_1375_1
T519	1	1	P_856	33	1641097874	P_1375_1
T522	2	1	P_1240	33	1641098112	P_1375_1
T12021	1	0	P_313	34	1641098170	P_39
T520	1	1	P_310	33	1641098194	P_1299,P_1297_1
T521	1	1	P_127	33	1641098270	P_1299,P_1297_1
T12022	1	0	P_307	34	1641098300	P_34
T12023	1	0	P_860	33	1641098448	P_912
T523	1	1	P_862	33	1641098579	P_1375_1
T12024	1	0	P_928	34	1641098663	P_34
T524	1	1	P_1486	33	1641098711	P_1375_1
T525	1	1	P_279	33	1641098830	P_1299,P_1297_1
T12025	1	0	P_304	34	1641098935	P_34
T12026	1	0	P_266	33	1641099239	P_1151
T526	1	1	P_207	33	1641099272	P_1299,P_1297_1
T527	2	1	P_1125	33	1641099326	P_1299,P_1297_1
T12027	1	0	P_197	34	1641099653	P_34
T528	1	1	P_206	33	1641099773	P_1299,P_1297_1
T12028	1	0	P_739	33	1641099838	P_912
T529	1	1	P_86	33	1641100237	P_1299,P_1297_1
T530	2	1	P_1483	33	1641100319	P_1375_1
T12029	1	0	P_268	34	1641100331	P_34
T12030	1	0	P_1529	34	1641100591	P_39
T534	2	1	P_835	33	1641100723	P_1375_1
T532	1	1	P_308	33	1641100774	P_1299,P_1297_1
T531	1	1	P_306	33	1641100778	P_1299,P_1297_1
T12031	1	0	P_862	33	1641100811	P_912
T533	1	1	P_302	33	1641100824	P_1299,P_1297_1
T12032	1	0	P_1131	34	1641100939	P_34
T12033	1	0	P_263	34	1641101099	P_34
T12034	1	0	P_199	34	1641101228	P_34
T12035	1	0	P_280	34	1641101424	P_34
T538	2	1	P_823	33	1641101453	P_1375_1
T12036	1	0	P_302	34	1641101556	P_34
T12037	1	0	P_277	34	1641101667	P_39
T536	1	1	P_101	33	1641101673	P_1299,P_1297_1
T540	1	1	P_90	33	1641101758	P_1299,P_1297_1
T535	1	1	P_301	33	1641101760	P_1299,P_1297_1
T12038	1	0	P_279	33	1641101763	P_1163
T12039	1	0	P_1522	34	1641101978	P_39
T537	1	1	P_312	33	1641102009	P_1299,P_1297_1
T12040	1	0	P_306	34	1641102109	P_34
T539	2	1	P_1128	33	1641102170	P_1299,P_1297_1
T542	1	1	P_521	33	1641102492	P_1299,P_1297_1
T12041	1	0	P_1126	33	1641102523	P_1163
T541	1	1	P_847	33	1641102542	P_1375_1
T12042	1	0	P_207	33	1641102694	P_1163
T544	1	1	P_266	33	1641102809	P_1299,P_1297_1
T12043	1	0	P_198	33	1641102828	P_1151
T543	1	1	P_307	33	1641103005	P_1299,P_1297_1
T12044	1	0	P_52	34	1641103023	P_34
T545	1	1	P_313	33	1641103115	P_1299,P_1297_1
T12045	1	0	P_95	34	1641103245	P_34
T12046	1	0	P_307	34	1641103517	P_34
T12047	1	0	P_118	34	1641103664	P_34
T546	1	1	P_205	33	1641103962	P_1299,P_1297_1
T12048	1	0	P_308	34	1641104027	P_39
T547	1	1	P_309	33	1641104156	P_1299,P_1297_1
T12049	1	0	P_1128	34	1641104168	P_39
T12050	1	0	P_301	34	1641104406	P_34
T12051	1	0	P_1244	34	1641104620	P_34
T12052	1	0	P_127	33	1641104711	P_1163
T548	1	1	P_54	33	1641104924	P_1299,P_1297_1
T549	1	1	P_99	33	1641105002	P_1299,P_1297_1
T552	1	1	P_862	33	1641105015	P_1375_1
T12053	1	0	P_200	34	1641105061	P_39
T551	1	1	P_263	33	1641105476	P_1299,P_1297_1
T550	1	1	P_197	33	1641105534	P_1299,P_1297_1
T12054	1	0	P_1015	34	1641105605	P_34
T553	1	1	P_1131	33	1641105694	P_1299,P_1297_1
T12055	1	0	P_100	34	1641105775	P_39
T12056	1	0	P_117	34	1641105881	P_34
T556	1	1	P_532	33	1641105933	P_1299,P_1297_1
T12057	1	0	P_205	33	1641105992	P_1163
T12058	1	0	P_96	33	1641106163	P_1163
T557	1	1	P_207	33	1641106204	P_1299,P_1297_1
T554	1	1	P_198	33	1641106213	P_1299,P_1297_1
T559	1	1	P_232	33	1641106313	P_1299,P_1297_1
T12059	1	0	P_266	34	1641106318	P_34
T555	1	1	P_791	33	1641106354	P_1375_1
T12060	1	0	P_521	33	1641106446	P_1163
T558	1	1	P_302	33	1641106453	P_1299,P_1297_1
T12061	1	0	P_1418	33	1641106579	P_912
T561	1	1	P_297	33	1641106657	P_1299,P_1297_1
T560	1	1	P_1132	33	1641106668	P_1299,P_1297_1
T12062	1	0	P_534	34	1641106743	P_39
