aid	aircrafttype	tasktype	standpointid	runwayid	startime	P
T2065	1	1	P_269	33	1641430836	P_1299,P_1297_1
T13562	1	0	P_132	34	1641430907	P_39
T2066	2	1	P_1046	33	1641431076	P_1299,P_1297_1
T2068	1	1	P_532	33	1641431106	P_1299,P_1297_1
T2067	1	1	P_54	33	1641431178	P_1299,P_1297_1
T2069	1	1	P_1485	33	1641431245	P_1375_1
T13563	1	0	P_134	34	1641431263	P_39
T2070	1	1	P_298	33	1641431292	P_1299,P_1297_1
T2071	1	1	P_856	33	1641431382	P_1375_1
T2073	1	1	P_311	33	1641431426	P_1299,P_1297_1
T13564	1	0	P_57	34	1641431516	P_34
T2074	1	1	P_520	33	1641431555	P_1299,P_1297_1
T2076	1	1	P_1130	33	1641431597	P_1299,P_1297_1
T13565	1	0	P_96	34	1641431653	P_34
T13566	1	0	P_267	34	1641431777	P_34
T2072	1	1	P_791	33	1641431865	P_1375_1
T13567	1	0	P_1003	34	1641431877	P_34
T13568	1	0	P_196	34	1641431997	P_34
T2077	1	1	P_1132	33	1641432033	P_1299,P_1297_1
T13569	1	0	P_957	34	1641432204	P_34
T2078	2	1	P_123	33	1641432206	P_1299,P_1297_1
T2079	1	1	P_264	33	1641432230	P_1299,P_1297_1
T2075	1	1	P_780	33	1641432269	P_1375_1
T2082	1	1	P_89	33	1641432307	P_1299,P_1297_1
T13570	1	0	P_1015	34	1641432451	P_34
T2080	1	1	P_404	33	1641432514	P_1299,P_1297_1
T13571	1	0	P_1484	34	1641432622	P_34
T2085	1	1	P_518	33	1641432676	P_1299,P_1297_1
T13572	1	0	P_207	34	1641432788	P_34
T2081	1	1	P_309	33	1641432871	P_1299,P_1297_1
T13573	1	0	P_55	34	1641432919	P_34
T2084	1	1	P_313	33	1641432991	P_1299,P_1297_1
T13574	2	0	P_1129	34	1641433058	P_21
T2083	1	1	P_1261	33	1641433074	P_1375_1
T13575	1	0	P_263	34	1641433157	P_34
T2086	1	1	P_95	33	1641433299	P_1299,P_1297_1
T13576	1	0	P_301	34	1641433326	P_34
T13577	1	0	P_312	34	1641433446	P_39
T2087	1	1	P_268	33	1641433558	P_1299,P_1297_1
T13578	1	0	P_280	34	1641433565	P_39
T13579	1	0	P_276	34	1641433692	P_34
T13580	1	0	P_305	34	1641433814	P_34
T2091	1	1	P_97	33	1641433913	P_1299,P_1297_1
T2088	1	1	P_1278	33	1641433924	P_1375_1
T2089	1	1	P_265	33	1641433928	P_1299,P_1297_1
T13581	1	0	P_198	34	1641433959	P_34
T13582	1	0	P_277	34	1641434064	P_34
T2090	1	1	P_1529	33	1641434132	P_1375_1
T2094	1	1	P_92	33	1641434200	P_1299,P_1297_1
T13583	1	0	P_787	34	1641434214	P_34
T2093	1	1	P_308	33	1641434252	P_1299,P_1297_1
T2095	1	1	P_195	33	1641434295	P_1299,P_1297_1
T2092	1	1	P_407	33	1641434307	P_1299,P_1297_1
T13584	1	0	P_197	34	1641434362	P_34
T13585	1	0	P_300	34	1641434489	P_34
T2096	1	1	P_302	33	1641434548	P_1299,P_1297_1
T13586	1	0	P_311	34	1641434659	P_34
T2097	1	1	P_946	33	1641434689	P_1375_1
T13587	1	0	P_1499	34	1641434838	P_34
T2100	1	1	P_91	33	1641434974	P_1299,P_1297_1
T2098	1	1	P_306	33	1641435077	P_1299,P_1297_1
T13588	1	0	P_275	34	1641435135	P_39
T2099	2	1	P_412	33	1641435174	P_1299,P_1297_1
T13589	1	0	P_304	34	1641435454	P_34
T2103	1	1	P_232	33	1641435598	P_1299,P_1297_1
T2102	1	1	P_273	33	1641435613	P_1299,P_1297_1
T13590	2	0	P_835	34	1641435701	P_21
T2101	2	1	P_1511	33	1641435773	P_1375_1
T2104	1	1	P_864	33	1641435820	P_1375_1
T2106	1	1	P_132	33	1641435903	P_1299,P_1297_1
T13591	2	0	P_1005	34	1641436144	P_21
T2107	1	1	P_229	33	1641436185	P_1299,P_1297_1
T2105	1	1	P_199	33	1641436205	P_1299,P_1297_1
T2111	1	1	P_57	33	1641436364	P_1299,P_1297_1
T2110	1	1	P_271	33	1641436377	P_1299,P_1297_1
T2108	1	1	P_406	33	1641436395	P_1299,P_1297_1
T2109	1	1	P_231	33	1641436465	P_1299,P_1297_1
T2112	1	1	P_411	33	1641436604	P_1299,P_1297_1
T13592	1	0	P_278	34	1641436675	P_34
T2113	1	1	P_56	33	1641436769	P_1299,P_1297_1
T13593	1	0	P_54	34	1641436854	P_39
T2114	1	1	P_263	33	1641436913	P_1299,P_1297_1
T13594	1	0	P_306	34	1641436977	P_39
T13595	1	0	P_308	34	1641437138	P_34
T2116	1	1	P_531	33	1641437207	P_1299,P_1297_1
T13596	1	0	P_199	34	1641437245	P_39
T2118	1	1	P_55	33	1641437268	P_1299,P_1297_1
T13597	1	0	P_309	34	1641437356	P_34
T2115	1	1	P_196	33	1641437438	P_1299,P_1297_1
T13598	1	0	P_856	34	1641437474	P_34
T2117	1	1	P_96	33	1641437493	P_1299,P_1297_1
T2120	2	1	P_1044	33	1641437503	P_1299,P_1297_1
T13599	1	0	P_1190	34	1641437604	P_39
T2119	1	1	P_1498	33	1641437621	P_1375_1
T2123	1	1	P_1003	33	1641437718	P_1299,P_1297_1
T13600	2	0	P_827	34	1641437762	P_21
T2124	1	1	P_317	33	1641437766	P_1299,P_1297_1
T2122	1	1	P_1360	33	1641437795	P_1299,P_1297_1
T13601	1	0	P_204	34	1641437949	P_34
T2121	1	1	P_1499	33	1641437980	P_1375_1
T2125	1	1	P_300	33	1641437991	P_1299,P_1297_1
T13602	1	0	P_202	34	1641438101	P_34
T2126	1	1	P_312	33	1641438109	P_1299,P_1297_1
T2128	1	1	P_276	33	1641438450	P_1299,P_1297_1
T13603	1	0	P_269	34	1641438461	P_34
T2127	1	1	P_311	33	1641438570	P_1299,P_1297_1
T2129	1	1	P_197	33	1641438578	P_1299,P_1297_1
T2131	1	1	P_957	33	1641438632	P_1375_1
T2130	2	1	P_823	33	1641438685	P_1375_1
T13604	1	0	P_864	34	1641438702	P_34
T2132	2	1	P_1129	33	1641438864	P_1299,P_1297_1
T13605	1	0	P_264	34	1641439148	P_34
T2134	1	1	P_134	33	1641439284	P_1299,P_1297_1
T2135	1	1	P_1127	33	1641439314	P_1299,P_1297_1
T13606	2	0	P_1128	34	1641439333	P_21
T2133	1	1	P_267	33	1641439502	P_1299,P_1297_1
T2136	1	1	P_301	33	1641439611	P_1299,P_1297_1
T13607	2	0	P_1125	34	1641439742	P_21
T2137	1	1	P_207	33	1641439808	P_1299,P_1297_1
T2139	1	1	P_277	33	1641439827	P_1299,P_1297_1
T2141	1	1	P_198	33	1641439853	P_1299,P_1297_1
T13608	1	0	P_311	34	1641439874	P_34
T2140	2	1	P_1005	33	1641439986	P_1299,P_1297_1
T2138	1	1	P_1528	33	1641439991	P_1375_1
