aid	aircrafttype	tasktype	standpointid	runwayid	startime	P
T15383	1	0	P_303	34	1641819750	P_34
T15384	2	0	P_1005	34	1641819938	P_34
T15385	1	0	P_411	33	1641820261	P_1151
T3872	1	1	P_300	33	1641820418	P_1299,P_1297_1
T15386	1	0	P_265	33	1641820514	P_1163
T15387	1	0	P_205	34	1641820882	P_39
T3873	1	1	P_266	33	1641820895	P_1299,P_1297_1
T15388	1	0	P_1355	34	1641821006	P_34
T15389	1	0	P_1406	33	1641821282	P_912
T3874	1	1	P_271	33	1641821388	P_1299,P_1297_1
T15390	1	0	P_101	34	1641821736	P_34
T15391	1	0	P_317	33	1641821892	P_1163
T3875	1	1	P_280	33	1641821912	P_1299,P_1297_1
T15392	1	0	P_277	34	1641822156	P_34
T15393	1	0	P_311	34	1641822372	P_34
T15394	1	0	P_134	34	1641822476	P_34
T15395	1	0	P_1128	33	1641822629	P_1163
T3876	1	1	P_945	33	1641822667	P_1375_1
T15396	1	0	P_791	33	1641822777	P_912
T15397	1	0	P_199	34	1641823040	P_34
T3877	1	1	P_1130	33	1641823091	P_1299,P_1297_1
T15398	1	0	P_309	34	1641823222	P_39
T3878	2	1	P_831	33	1641823380	P_1375_1
T15399	1	0	P_1448	34	1641823383	P_39
T15400	1	0	P_410	34	1641823621	P_34
T3880	1	1	P_268	33	1641823711	P_1299,P_1297_1
T15401	1	0	P_264	33	1641823757	P_1163
T3879	1	1	P_303	33	1641823795	P_1299,P_1297_1
T15402	1	0	P_1523	34	1641823885	P_39
T15403	1	0	P_312	34	1641823988	P_39
T15404	1	0	P_118	34	1641824153	P_34
T3882	1	1	P_308	33	1641824168	P_1299,P_1297_1
T3881	1	1	P_202	33	1641824230	P_1299,P_1297_1
T15405	1	0	P_1255	34	1641824368	P_34
T15406	1	0	P_1132	34	1641824513	P_34
T15407	2	0	P_412	34	1641824669	P_21
T15408	1	0	P_109	34	1641824825	P_34
T3883	1	1	P_195	33	1641824897	P_1299,P_1297_1
T15409	1	0	P_305	34	1641824938	P_39
T15410	1	0	P_110	34	1641825162	P_39
T15411	1	0	P_1138	33	1641825352	P_1163
T15412	1	0	P_1418	34	1641825515	P_34
T3884	1	1	P_198	33	1641825633	P_1299,P_1297_1
T15413	1	0	P_207	34	1641825697	P_34
T15414	1	0	P_230	34	1641825876	P_34
T15415	1	0	P_304	33	1641826106	P_1163
T15416	1	0	P_266	34	1641826203	P_34
T15417	1	0	P_206	34	1641826407	P_39
T3885	1	1	P_796	33	1641826547	P_1375_1
T15418	1	0	P_1129	34	1641826679	P_34
T15419	1	0	P_1205	34	1641826978	P_34
T15420	1	0	P_107	34	1641827197	P_34
T15421	1	0	P_306	34	1641827659	P_34
T15422	1	0	P_278	33	1641827820	P_1163
T15423	1	0	P_307	34	1641827952	P_34
T3886	1	1	P_1452	33	1641828057	P_1375_1
T15424	1	0	P_204	34	1641828408	P_34
T3887	1	1	P_309	33	1641828571	P_1299,P_1297_1
T15425	1	0	P_195	33	1641828630	P_1151
T15426	1	0	P_202	34	1641828738	P_39
T3888	1	1	P_311	33	1641828910	P_1299,P_1297_1
T15427	1	0	P_935	33	1641828914	P_912
T15428	1	0	P_232	34	1641829067	P_39
T3889	2	1	P_412	33	1641829174	P_1299,P_1297_1
T15429	1	0	P_1268	33	1641829201	P_912
T15430	1	0	P_302	34	1641829328	P_34
T15431	1	0	P_965	33	1641829444	P_912
T3890	1	1	P_312	33	1641829445	P_1299,P_1297_1
T15432	1	0	P_945	34	1641829575	P_34
T15433	1	0	P_1278	33	1641829688	P_912
T15434	1	0	P_276	34	1641829834	P_34
T15435	1	0	P_408	33	1641829925	P_1163
T15436	1	0	P_271	34	1641830068	P_39
T15437	1	0	P_268	34	1641830191	P_34
T15438	1	0	P_953	34	1641830335	P_34
