aid	aircrafttype	tasktype	standpointid	runwayid	startime	P
T11887	1	0	P_110	34	1641042059	P_34
T11888	1	0	P_303	33	1641042202	P_1151
T11889	1	0	P_263	34	1641042428	P_34
T344	1	1	P_305	33	1641042463	P_1299,P_1297_1
T345	1	1	P_199	33	1641042485	P_1299,P_1297_1
T11890	1	0	P_280	34	1641042567	P_34
T11891	1	0	P_231	34	1641042671	P_34
T346	1	1	P_302	33	1641042686	P_1299,P_1297_1
T11892	1	0	P_271	34	1641042810	P_34
T11893	1	0	P_266	34	1641042960	P_39
T348	1	1	P_928	33	1641042962	P_1375_1
T347	2	1	P_1130	33	1641043126	P_1299,P_1297_1
T11894	1	0	P_742	33	1641043179	P_912
T11895	1	0	P_207	34	1641043502	P_34
T11896	1	0	P_305	33	1641044223	P_1163
T349	1	1	P_204	33	1641044397	P_1299,P_1297_1
T11897	1	0	P_1126	33	1641044708	P_1163
T350	1	1	P_205	33	1641044787	P_1299,P_1297_1
T11898	1	0	P_1131	34	1641044808	P_34
T11899	1	0	P_195	33	1641044903	P_1163
T11900	1	0	P_412	34	1641045088	P_34
T11901	1	0	P_306	34	1641045397	P_34
T11902	1	0	P_308	34	1641045479	P_39
T11903	1	0	P_302	34	1641045597	P_34
T11904	1	0	P_313	34	1641045726	P_34
T11905	1	0	P_199	34	1641045964	P_34
T351	1	1	P_300	33	1641046246	P_1299,P_1297_1
T11906	1	0	P_205	34	1641046427	P_34
T353	1	1	P_275	33	1641046478	P_1299,P_1297_1
T352	1	1	P_307	33	1641046480	P_1299,P_1297_1
T11907	1	0	P_206	34	1641046557	P_39
T11908	1	0	P_277	34	1641046690	P_34
T11909	1	0	P_1261	34	1641046863	P_34
T354	1	1	P_280	33	1641046934	P_1299,P_1297_1
T11910	1	0	P_204	34	1641047063	P_34
T11911	1	0	P_1523	34	1641047218	P_34
T11912	1	0	P_280	34	1641047348	P_34
T11913	1	0	P_309	34	1641047454	P_39
T11914	1	0	P_273	34	1641047647	P_34
T11915	1	0	P_310	34	1641047780	P_34
T11916	1	0	P_1499	33	1641047841	P_912
T11917	1	0	P_405	34	1641047975	P_34
T355	1	1	P_198	33	1641048068	P_1299,P_1297_1
T11918	1	0	P_1406	33	1641048118	P_912
T11919	1	0	P_230	34	1641048381	P_34
T356	1	1	P_276	33	1641048654	P_1299,P_1297_1
T357	1	1	P_266	33	1641048821	P_1299,P_1297_1
T11920	1	0	P_300	34	1641049235	P_34
T11921	1	0	P_409	34	1641049559	P_34
T11922	1	0	P_202	34	1641049746	P_34
T11923	1	0	P_1498	34	1641049964	P_34
T11924	1	0	P_1448	33	1641050142	P_912
T358	1	1	P_313	33	1641050195	P_1299,P_1297_1
T11925	1	0	P_266	33	1641050299	P_1163
T360	1	1	P_199	33	1641050839	P_1299,P_1297_1
T359	1	1	P_308	33	1641050850	P_1299,P_1297_1
T11926	1	0	P_1355	34	1641051178	P_39
T11927	1	0	P_411	34	1641051494	P_34
T11928	1	0	P_1130	34	1641051762	P_34
T361	1	1	P_280	33	1641051860	P_1299,P_1297_1
T11929	1	0	P_200	34	1641051953	P_39
T11930	1	0	P_308	34	1641052145	P_39
T11931	1	0	P_198	34	1641052311	P_34
T11932	1	0	P_267	34	1641052425	P_34
T11933	1	0	P_274	34	1641052619	P_34
