aid	aircrafttype	tasktype	standpointid	runwayid	startime	P
T6403	1	1	P_264	33	1642500078	P_1299,P_1297_1
T6405	1	1	P_268	33	1642500470	P_1299,P_1297_1
T17901	1	0	P_110	34	1642500750	P_34
T17902	1	0	P_107	33	1642500852	P_1163
T6406	1	1	P_831	33	1642500883	P_1375_1
T6407	1	1	P_322	33	1642501164	P_1299,P_1297_1
T17903	1	0	P_96	34	1642501166	P_34
T17904	2	0	P_273	34	1642501280	P_21
T17905	1	0	P_317	34	1642501458	P_34
T17906	1	0	P_304	34	1642501573	P_39
T17907	1	0	P_124	34	1642501724	P_34
T6408	1	1	P_280	33	1642501803	P_1299,P_1297_1
T17908	1	0	P_101	34	1642501858	P_39
T17909	1	0	P_277	34	1642502007	P_34
T17910	1	0	P_263	34	1642502440	P_39
T6409	1	1	P_309	33	1642502504	P_1299,P_1297_1
T17911	1	0	P_197	34	1642502685	P_34
T17912	1	0	P_318	33	1642502785	P_1163
T6410	1	1	P_207	33	1642502796	P_1299,P_1297_1
T17913	1	0	P_127	34	1642502969	P_34
T6411	1	1	P_301	33	1642503091	P_1299,P_1297_1
T17914	1	0	P_1130	34	1642503226	P_34
T17915	1	0	P_520	34	1642503336	P_34
T17916	1	0	P_265	34	1642503474	P_34
T17917	1	0	P_57	34	1642503598	P_34
T17918	1	0	P_531	34	1642503835	P_34
T6414	1	1	P_1131	33	1642503969	P_1299,P_1297_1
T6412	1	1	P_965	33	1642504055	P_1375_1
T17919	1	0	P_104	33	1642504110	P_1163
T6413	1	1	P_311	33	1642504253	P_1299,P_1297_1
T17920	1	0	P_95	34	1642504423	P_34
T17921	1	0	P_268	34	1642504575	P_34
T17922	1	0	P_1129	33	1642504706	P_1163
T17923	1	0	P_534	34	1642504903	P_34
T17924	1	0	P_1454	33	1642505315	P_912
T17925	1	0	P_70	34	1642505518	P_34
T17926	1	0	P_278	34	1642505724	P_34
T6415	1	1	P_266	33	1642505883	P_1299,P_1297_1
T17927	1	0	P_410	34	1642506011	P_34
T17928	1	0	P_100	33	1642506105	P_1151
T17929	1	0	P_302	34	1642506347	P_34
T17930	2	0	P_823	33	1642506420	P_998
T17931	1	0	P_232	33	1642506587	P_1163
T6416	1	1	P_310	33	1642506670	P_1299,P_1297_1
T6418	1	1	P_862	33	1642506743	P_1375_1
T17932	1	0	P_118	34	1642506815	P_34
T6417	1	1	P_312	33	1642506965	P_1299,P_1297_1
T17933	1	0	P_280	34	1642506965	P_34
T17934	1	0	P_276	33	1642507353	P_1163
T17935	1	0	P_207	34	1642507493	P_34
T6420	2	1	P_273	33	1642507522	P_1299,P_1297_1
T17936	1	0	P_1014	34	1642507651	P_34
T6419	1	1	P_263	33	1642507766	P_1299,P_1297_1
T17937	1	0	P_406	34	1642507776	P_34
T17938	2	0	P_1402	34	1642507947	P_21
T6422	1	1	P_1130	33	1642508173	P_1299,P_1297_1
T6421	1	1	P_304	33	1642508322	P_1299,P_1297_1
T17939	1	0	P_407	34	1642508370	P_39
T17940	1	0	P_204	34	1642508489	P_34
T17941	1	0	P_307	34	1642508743	P_39
T6423	1	1	P_303	33	1642508830	P_1299,P_1297_1
T17942	1	0	P_1453	33	1642508957	P_912
T17943	1	0	P_313	34	1642509110	P_34
T17944	1	0	P_1124	34	1642509372	P_34
T6424	1	1	P_197	33	1642509557	P_1299,P_1297_1
T17945	1	0	P_267	34	1642509570	P_34
T17946	1	0	P_309	34	1642509682	P_34
T17947	1	0	P_1138	34	1642509844	P_39
T6425	1	1	P_265	33	1642509865	P_1299,P_1297_1
T17948	1	0	P_264	34	1642509987	P_34
T17949	1	0	P_308	34	1642510134	P_34
T6426	1	1	P_280	33	1642510161	P_1299,P_1297_1
T17950	1	0	P_1344	33	1642510301	P_1163
T6427	1	1	P_1129	33	1642510315	P_1299,P_1297_1
T17951	1	0	P_310	34	1642510511	P_34
T6428	1	1	P_302	33	1642510762	P_1299,P_1297_1
