aid	aircrafttype	tasktype	standpointid	runwayid	startime	P
T7825	1	1	P_305	15	1642867217	P_565_1,P_563_1
T19365	1	0	P_197	16	1642867331	P_505
T19366	1	0	P_269	16	1642867454	P_1037
T19367	1	0	P_205	16	1642867616	P_1037
T19368	1	0	P_300	16	1642867749	P_505
T19369	1	0	P_271	16	1642867978	P_505
T19370	1	0	P_1127	16	1642868135	P_505
T19371	2	0	P_1357	15	1642868279	P_1544
T19372	1	0	P_206	15	1642868578	P_1541
T7828	1	1	P_1452	15	1642868624	P_572_1,P_575_1
T19373	2	0	P_828	15	1642868842	P_1227
T7827	1	1	P_309	15	1642868954	P_565_1,P_563_1
T19374	1	0	P_738	15	1642869014	P_1532
T7829	2	1	P_827	15	1642869090	P_572_1,P_575_1
T19375	1	0	P_412	15	1642869167	P_1541
T19376	1	0	P_405	15	1642869295	P_1541
T19377	1	0	P_202	15	1642869401	P_1541
T19378	1	0	P_301	15	1642869528	P_1541
T19379	1	0	P_1126	15	1642869656	P_1541
T19380	1	0	P_1399	15	1642869767	P_1532
T19381	1	0	P_310	15	1642869968	P_433
T19382	1	0	P_309	15	1642870095	P_1541
T19383	1	0	P_313	15	1642870206	P_1541
T19384	1	0	P_265	15	1642870349	P_433
T7830	1	1	P_1486	15	1642870492	P_572_1,P_575_1
T19385	1	0	P_303	15	1642870494	P_433
T19386	1	0	P_305	15	1642870637	P_1541
T19387	1	0	P_1131	15	1642870743	P_1541
T19388	1	0	P_1132	15	1642870937	P_1541
T19389	1	0	P_1521	15	1642871050	P_1532
T19390	1	0	P_1344	15	1642871176	P_433
T7831	2	1	P_1485	15	1642871440	P_572_1,P_575_1
T19391	1	0	P_199	15	1642871605	P_1541
T19392	2	0	P_1349	15	1642871734	P_1544
T19393	1	0	P_404	15	1642871942	P_1541
T19394	1	0	P_1128	15	1642872212	P_433
T7832	1	1	P_1510	15	1642872502	P_572_1,P_575_1
T7833	1	1	P_1511	15	1642873394	P_572_1,P_575_1
T19395	2	0	P_1522	15	1642873850	P_1227
T19396	1	0	P_1499	15	1642874650	P_1532
T19397	2	0	P_1273	15	1642874923	P_1227
T7834	1	1	P_1509	15	1642875041	P_572_1,P_575_1
T7835	1	1	P_791	15	1642875984	P_572_1,P_575_1
T19398	1	0	P_1452	15	1642876351	P_1532
T7836	1	1	P_935	15	1642876609	P_572_1,P_575_1
T19399	2	0	P_1272	15	1642877003	P_1227
T19400	1	0	P_1509	15	1642877256	P_1532
T7837	2	1	P_1353	15	1642877551	P_565_1,P_563_1
T7838	1	1	P_946	15	1642877999	P_572_1,P_575_1
