aid	aircrafttype	tasktype	standpointid	runwayid	startime	P
T11465	1	1	P_268	33	1643612481	P_1299,P_1297_1
T22937	1	0	P_268	34	1643612530	P_34
T22938	2	0	P_1480	33	1643612647	P_998
T22939	1	0	P_797	34	1643612777	P_34
T11467	2	1	P_1128	33	1643612895	P_1299,P_1297_1
T22940	1	0	P_277	34	1643612918	P_34
T11466	1	1	P_206	33	1643612950	P_1299,P_1297_1
T22941	1	0	P_93	33	1643613014	P_1163
T11468	1	1	P_528	33	1643613115	P_1299,P_1297_1
T22942	1	0	P_265	33	1643613118	P_1163
T22943	1	0	P_529	34	1643613234	P_34
T11471	1	1	P_276	33	1643613253	P_1299,P_1297_1
T11469	1	1	P_98	33	1643613270	P_1299,P_1297_1
T11470	1	1	P_518	33	1643613281	P_1299,P_1297_1
T22944	1	0	P_1131	34	1643613338	P_34
T11473	1	1	P_196	33	1643613448	P_1299,P_1297_1
T22945	1	0	P_791	33	1643613482	P_912
T11472	1	1	P_266	33	1643613599	P_1299,P_1297_1
T22946	1	0	P_134	34	1643613675	P_34
T22947	1	0	P_88	34	1643613782	P_39
T22948	1	0	P_953	33	1643613888	P_912
T22949	1	0	P_273	34	1643614001	P_34
T11475	1	1	P_278	33	1643614090	P_1299,P_1297_1
T22950	1	0	P_118	34	1643614149	P_34
T11474	1	1	P_109	33	1643614171	P_1299,P_1297_1
T22951	1	0	P_98	34	1643614624	P_34
T22952	1	0	P_54	34	1643614778	P_34
T11477	2	1	P_298	33	1643614798	P_1299,P_1297_1
T22953	1	0	P_279	34	1643614914	P_39
T11476	1	1	P_53	33	1643614924	P_1299,P_1297_1
T22954	2	0	P_403	34	1643615080	P_21
T22955	1	0	P_531	34	1643615213	P_39
T22956	1	0	P_124	34	1643615380	P_34
T22957	1	0	P_267	34	1643615523	P_34
T11478	1	1	P_275	33	1643615535	P_1299,P_1297_1
T22958	2	0	P_1362	34	1643615656	P_21
T11479	1	1	P_112	33	1643615744	P_1299,P_1297_1
T22959	1	0	P_96	33	1643615793	P_1163
T22960	1	0	P_301	33	1643615925	P_1151
T22961	2	0	P_1128	34	1643616042	P_21
T22962	2	0	P_270	34	1643616248	P_21
T11480	1	1	P_1003	33	1643616284	P_1299,P_1297_1
T22963	1	0	P_796	33	1643616374	P_912
T11481	1	1	P_1126	33	1643616420	P_1299,P_1297_1
T22964	1	0	P_278	34	1643616513	P_34
T22965	1	0	P_311	34	1643616648	P_34
T11483	1	1	P_1131	33	1643616761	P_1299,P_1297_1
T11482	1	1	P_264	33	1643616762	P_1299,P_1297_1
T22966	1	0	P_312	34	1643616787	P_34
T22967	1	0	P_276	34	1643616928	P_34
T11484	1	1	P_118	33	1643616958	P_1299,P_1297_1
T22968	1	0	P_100	34	1643617056	P_34
T11485	1	1	P_1129	33	1643617148	P_1299,P_1297_1
T22969	1	0	P_518	34	1643617169	P_39
T22970	1	0	P_110	34	1643617292	P_34
T22971	1	0	P_1003	34	1643617477	P_34
T11487	1	1	P_1132	33	1643617554	P_1299,P_1297_1
T22972	1	0	P_56	34	1643617584	P_34
T22973	1	0	P_53	34	1643617707	P_34
T11486	1	1	P_197	33	1643617729	P_1299,P_1297_1
T11488	1	1	P_263	33	1643617754	P_1299,P_1297_1
T22974	1	0	P_304	34	1643617866	P_34
T22975	1	0	P_957	33	1643618036	P_912
T11489	1	1	P_268	33	1643618042	P_1299,P_1297_1
T11490	1	1	P_273	33	1643618113	P_1299,P_1297_1
T22976	1	0	P_1350	34	1643618180	P_34
T11491	1	1	P_279	33	1643618308	P_1299,P_1297_1
T22977	1	0	P_862	33	1643618349	P_912
T22978	1	0	P_305	34	1643618462	P_39
T11492	1	1	P_277	33	1643618748	P_1299,P_1297_1
T22979	1	0	P_405	34	1643618987	P_34
T22980	2	0	P_320	34	1643619195	P_21
T22981	1	0	P_1348	34	1643619568	P_39
T22982	1	0	P_1352	34	1643619716	P_39
T22983	2	0	P_273	34	1643620004	P_34
T11493	2	1	P_605	33	1643620059	P_1375_1
T22984	1	0	P_199	33	1643620232	P_1163
T11494	1	1	P_521	33	1643620249	P_1299,P_1297_1
T11495	2	1	P_827	33	1643620319	P_1375_1
T11496	1	1	P_124	33	1643620363	P_1299,P_1297_1
T22985	1	0	P_1207	33	1643620380	P_912
T22986	1	0	P_302	34	1643620533	P_34
T11498	1	1	P_229	33	1643620587	P_1299,P_1297_1
T22987	1	0	P_787	33	1643620678	P_912
T11499	1	1	P_276	33	1643620726	P_1299,P_1297_1
T22988	1	0	P_204	34	1643620813	P_34
T11497	1	1	P_598	33	1643620894	P_1375_1
T22989	1	0	P_196	34	1643620957	P_34
T11501	1	1	P_278	33	1643621072	P_1299,P_1297_1
T22990	1	0	P_313	34	1643621075	P_34
T11500	1	1	P_265	33	1643621115	P_1299,P_1297_1
T22991	1	0	P_946	33	1643621218	P_912
T22992	1	0	P_104	33	1643621351	P_1163
T22993	1	0	P_1131	34	1643621492	P_34
T22994	1	0	P_124	34	1643621621	P_34
T22995	1	0	P_1268	33	1643621762	P_912
T22996	1	0	P_279	34	1643622014	P_39
T11502	2	1	P_1128	33	1643622087	P_1299,P_1297_1
T22997	2	0	P_307	34	1643622131	P_21
T22998	1	0	P_412	34	1643622418	P_34
T11504	1	1	P_56	33	1643622545	P_1299,P_1297_1
T22999	1	0	P_303	34	1643622574	P_39
T11505	2	1	P_270	33	1643622645	P_1299,P_1297_1
T11503	1	1	P_1138	33	1643622651	P_1299,P_1297_1
T23000	1	0	P_1129	34	1643623044	P_34
T23001	1	0	P_195	34	1643623165	P_34
