aid	aircrafttype	tasktype	standpointid	runwayid	startime	P
T5896	1	1	P_1498	33	1642370507	P_1375_1
T5897	1	1	P_405	33	1642370632	P_1299,P_1297_1
T5898	1	1	P_309	33	1642370689	P_1299,P_1297_1
T5899	1	1	P_263	33	1642370954	P_1299,P_1297_1
T17453	1	0	P_1448	34	1642371179	P_34
T5900	1	1	P_308	34	1642371188	P_1118,P_1110_1
T5901	1	1	P_403	33	1642371426	P_1299,P_1297_1
T5902	1	1	P_313	33	1642371436	P_1299,P_1297_1
T17454	2	0	P_1425	34	1642371792	P_34
T5903	1	1	P_276	34	1642371803	P_1118,P_1110_1
T5906	1	1	P_267	34	1642371833	P_1118,P_1110_1
T5907	1	1	P_100	33	1642371842	P_1299,P_1297_1
T5904	1	1	P_1455	33	1642371852	P_1375_1
T5905	1	1	P_199	33	1642371853	P_1299,P_1297_1
T5909	1	1	P_207	33	1642372252	P_1299,P_1297_1
T5908	1	1	P_311	33	1642372260	P_1299,P_1297_1
T5911	1	1	P_531	33	1642372702	P_1299,P_1297_1
T5915	1	1	P_1129	33	1642372766	P_1299,P_1297_1
T5912	1	1	P_319	33	1642372790	P_1299,P_1297_1
T5910	1	1	P_1014	34	1642372933	P_1118,P_1110_1
T5917	1	1	P_200	33	1642373373	P_1299,P_1297_1
T5916	1	1	P_864	33	1642373423	P_1375_1
T5913	1	1	P_1485	33	1642373497	P_1375_1
T5914	1	1	P_298	34	1642373624	P_1118,P_1110_1
T5919	2	1	P_1046	33	1642373973	P_1299,P_1297_1
T5918	1	1	P_1193	33	1642374211	P_1375_1
T5921	1	1	P_1124	33	1642374241	P_1299,P_1297_1
T5920	1	1	P_303	33	1642374282	P_1299,P_1297_1
T5922	1	1	P_275	33	1642374358	P_1299,P_1297_1
T5924	1	1	P_1448	33	1642374584	P_1375_1
T5923	1	1	P_532	34	1642374618	P_1118,P_1110_1
T5925	1	1	P_307	33	1642375029	P_1299,P_1297_1
T5926	1	1	P_205	34	1642375168	P_1118,P_1110_1
T5927	1	1	P_198	33	1642375310	P_1299,P_1297_1
T5928	1	1	P_1132	33	1642375395	P_1299,P_1297_1
T5929	1	1	P_53	33	1642375616	P_1299,P_1297_1
T17455	1	0	P_1129	34	1642376173	P_39
T5930	1	1	P_197	33	1642376249	P_1299,P_1297_1
T17456	1	0	P_1454	34	1642376334	P_39
T5931	1	1	P_302	33	1642376497	P_1299,P_1297_1
T5935	1	1	P_1128	34	1642376912	P_1118,P_1110_1
T5934	1	1	P_266	33	1642376933	P_1299,P_1297_1
T5933	1	1	P_271	33	1642376989	P_1299,P_1297_1
T17457	1	0	P_313	34	1642377115	P_34
T5932	1	1	P_1205	33	1642377136	P_1375_1
T5936	1	1	P_98	33	1642377218	P_1299,P_1297_1
T17458	2	0	P_1511	34	1642377367	P_34
T17459	1	0	P_1510	34	1642377773	P_34
T5937	1	1	P_1204	33	1642377818	P_1375_1
T5943	1	1	P_1354	34	1642377868	P_1118,P_1110_1
T5938	1	1	P_306	33	1642377947	P_1299,P_1297_1
T17460	1	0	P_1498	34	1642378012	P_39
T5941	1	1	P_1126	33	1642378082	P_1299,P_1297_1
T17461	2	0	P_1240	34	1642378267	P_21
T5939	1	1	P_1127	34	1642378340	P_1118,P_1110_1
T5940	2	1	P_1426	33	1642378372	P_1375_1
T5947	1	1	P_206	33	1642378428	P_1299,P_1297_1
T5945	1	1	P_301	33	1642378433	P_1299,P_1297_1
T5942	1	1	P_1529	33	1642378488	P_1375_1
T5946	1	1	P_101	33	1642378539	P_1299,P_1297_1
T17462	1	0	P_532	34	1642378639	P_34
T5944	1	1	P_1356	33	1642378678	P_1299,P_1297_1
T5948	1	1	P_1130	33	1642378746	P_1299,P_1297_1
T5949	1	1	P_534	33	1642378866	P_1299,P_1297_1
T17463	1	0	P_308	34	1642378871	P_34
T17464	1	0	P_531	34	1642379169	P_34
T5950	1	1	P_91	33	1642379263	P_1299,P_1297_1
T17465	1	0	P_1244	34	1642379341	P_34
T5955	1	1	P_277	33	1642379512	P_1299,P_1297_1
T17466	1	0	P_1455	34	1642379533	P_34
T5951	1	1	P_112	33	1642379574	P_1299,P_1297_1
T5952	1	1	P_312	33	1642379622	P_1299,P_1297_1
T5954	1	1	P_132	34	1642379879	P_1118,P_1110_1
T5953	1	1	P_797	33	1642379895	P_1375_1
T5958	1	1	P_1208	33	1642380060	P_1375_1
T5957	1	1	P_103	33	1642380079	P_1299,P_1297_1
T5956	1	1	P_300	33	1642380191	P_1299,P_1297_1
T5959	1	1	P_1454	33	1642380302	P_1375_1
T5960	1	1	P_269	33	1642380756	P_1299,P_1297_1
T5961	1	1	P_263	33	1642380868	P_1299,P_1297_1
