aid	aircrafttype	tasktype	standpointid	runwayid	startime	P
T6192	1	1	P_198	33	1642457169	P_1299,P_1297_1
T6193	1	1	P_1481	33	1642457500	P_1375_1
T6196	1	1	P_205	33	1642457640	P_1299,P_1297_1
T6197	2	1	P_1427	33	1642457763	P_1375_1
T6195	1	1	P_1510	33	1642457776	P_1375_1
T6194	1	1	P_533	34	1642457817	P_1118,P_1110_1
T6202	2	1	P_319	34	1642457860	P_1118,P_1110_1
T6198	1	1	P_89	33	1642458033	P_1299,P_1297_1
T6199	1	1	P_207	33	1642458048	P_1299,P_1297_1
T6204	1	1	P_274	33	1642458239	P_1299,P_1297_1
T6200	1	1	P_264	34	1642458491	P_1118,P_1110_1
T6201	1	1	P_312	33	1642458527	P_1299,P_1297_1
T6203	1	1	P_88	33	1642458574	P_1299,P_1297_1
T6208	2	1	P_1240	34	1642458801	P_1118,P_1110_1
T6205	1	1	P_310	33	1642458935	P_1299,P_1297_1
T6206	1	1	P_1511	33	1642459046	P_1375_1
T6207	1	1	P_267	33	1642459112	P_1299,P_1297_1
T6211	1	1	P_412	34	1642459517	P_1118,P_1110_1
T6209	1	1	P_276	34	1642459633	P_1118,P_1110_1
T17756	2	0	P_1486	34	1642459736	P_21
T6212	1	1	P_298	34	1642459903	P_1118,P_1110_1
T6210	1	1	P_1244	33	1642459905	P_1375_1
T6213	2	1	P_1402	34	1642459936	P_1118,P_1110_1
T6215	1	1	P_860	34	1642459959	P_1118,P_1110_1
T6214	1	1	P_200	33	1642460472	P_1299,P_1297_1
T6216	1	1	P_1498	33	1642460659	P_1375_1
T6219	2	1	P_1342	34	1642460721	P_1118,P_1110_1
T6217	1	1	P_532	33	1642461104	P_1299,P_1297_1
T6218	2	1	P_823	33	1642461439	P_1375_1
T6220	1	1	P_1132	34	1642461830	P_1118,P_1110_1
T6221	1	1	P_91	33	1642462182	P_1299,P_1297_1
T6223	1	1	P_1129	33	1642462223	P_1299,P_1297_1
T6222	1	1	P_1126	33	1642462374	P_1299,P_1297_1
T17757	1	0	P_1485	34	1642462402	P_34
T17758	2	0	P_1511	34	1642462609	P_21
T6224	1	1	P_229	33	1642462810	P_1299,P_1297_1
T17759	1	0	P_412	34	1642462825	P_34
T6226	1	1	P_106	33	1642463191	P_1299,P_1297_1
T17760	1	0	P_199	34	1642463311	P_39
T6225	1	1	P_307	33	1642463346	P_1299,P_1297_1
T17761	1	0	P_1481	34	1642463463	P_34
T6227	1	1	P_301	33	1642463465	P_1299,P_1297_1
T6229	1	1	P_1130	33	1642463528	P_1299,P_1297_1
T6230	1	1	P_268	33	1642463577	P_1299,P_1297_1
T6228	1	1	P_124	33	1642463605	P_1299,P_1297_1
T17762	1	0	P_1452	34	1642464353	P_34
T6232	1	1	P_110	33	1642464504	P_1299,P_1297_1
T6231	1	1	P_197	33	1642464524	P_1299,P_1297_1
T6233	1	1	P_300	33	1642464607	P_1299,P_1297_1
T17763	1	0	P_301	34	1642464608	P_34
T17764	1	0	P_1479	34	1642464849	P_39
T6234	1	1	P_207	33	1642464976	P_1299,P_1297_1
T6236	1	1	P_57	33	1642465042	P_1299,P_1297_1
T17765	1	0	P_1132	34	1642465066	P_39
T6235	1	1	P_318	33	1642465112	P_1299,P_1297_1
T17766	1	0	P_1499	34	1642465222	P_34
T17767	1	0	P_1455	34	1642465322	P_39
T17768	1	0	P_1498	34	1642465618	P_34
T6237	1	1	P_127	33	1642465686	P_1299,P_1297_1
T6238	1	1	P_858	33	1642465723	P_1375_1
T17769	2	0	P_1130	34	1642465788	P_21
T6242	1	1	P_275	33	1642466068	P_1299,P_1297_1
T6241	1	1	P_1124	33	1642466099	P_1299,P_1297_1
T6239	1	1	P_204	33	1642466138	P_1299,P_1297_1
T6240	1	1	P_104	33	1642466226	P_1299,P_1297_1
T6243	1	1	P_195	33	1642466362	P_1299,P_1297_1
T6244	2	1	P_824	33	1642466413	P_1375_1
T17770	1	0	P_1509	33	1642466491	P_912
T6245	1	1	P_273	33	1642466664	P_1299,P_1297_1
T6249	1	1	P_278	33	1642466700	P_1299,P_1297_1
T6248	1	1	P_411	33	1642466716	P_1299,P_1297_1
T6246	1	1	P_310	33	1642466837	P_1299,P_1297_1
T6247	1	1	P_1207	33	1642466861	P_1375_1
T17771	1	0	P_57	34	1642466950	P_39
T6250	2	1	P_1511	33	1642466980	P_1375_1
T6251	1	1	P_263	33	1642467189	P_1299,P_1297_1
T6252	1	1	P_317	33	1642467523	P_1299,P_1297_1
T6253	1	1	P_946	33	1642467570	P_1375_1
