aid	aircrafttype	tasktype	standpointid	runwayid	startime	P
T22803	2	0	P_823	33	1643580659	P_998
T11250	1	1	P_320	34	1643581069	P_1118,P_1110_1
T11249	1	1	P_1402	33	1643581156	P_1375_1
T11252	1	1	P_95	33	1643581507	P_1299,P_1297_1
T11251	1	1	P_202	34	1643581515	P_1118,P_1110_1
T11255	1	1	P_277	33	1643581561	P_1299,P_1297_1
T11254	1	1	P_1255	33	1643581732	P_1375_1
T11253	1	1	P_308	33	1643581819	P_1299,P_1297_1
T11256	1	1	P_96	33	1643581888	P_1299,P_1297_1
T11257	1	1	P_311	33	1643581906	P_1299,P_1297_1
T11258	1	1	P_307	33	1643582207	P_1299,P_1297_1
T11260	1	1	P_312	33	1643582477	P_1299,P_1297_1
T11259	1	1	P_278	34	1643582624	P_1118,P_1110_1
T11262	1	1	P_406	33	1643582659	P_1299,P_1297_1
T11261	1	1	P_264	34	1643582723	P_1118,P_1110_1
T11263	1	1	P_409	33	1643583010	P_1299,P_1297_1
T11264	1	1	P_533	34	1643583085	P_1118,P_1110_1
T11265	1	1	P_407	33	1643583392	P_1299,P_1297_1
T11266	1	1	P_300	33	1643583424	P_1299,P_1297_1
T11267	1	1	P_1349	33	1643583555	P_1299,P_1297_1
T22804	1	0	P_1511	34	1643583627	P_39
T11268	1	1	P_205	33	1643583643	P_1299,P_1297_1
T11272	1	1	P_322	34	1643583810	P_1118,P_1110_1
T11269	1	1	P_265	34	1643583831	P_1118,P_1110_1
T11271	1	1	P_411	33	1643583962	P_1299,P_1297_1
T11270	1	1	P_1523	33	1643584105	P_1375_1
T11273	1	1	P_198	33	1643584347	P_1299,P_1297_1
T11278	2	1	P_1357	34	1643584453	P_1118,P_1110_1
T11274	1	1	P_305	33	1643584601	P_1299,P_1297_1
T11275	1	1	P_195	33	1643584774	P_1299,P_1297_1
T22805	1	0	P_96	34	1643584950	P_34
T11282	1	1	P_520	34	1643585057	P_1118,P_1110_1
T11276	1	1	P_1278	33	1643585159	P_1375_1
T11279	1	1	P_310	33	1643585200	P_1299,P_1297_1
T11277	1	1	P_1355	33	1643585204	P_1299,P_1297_1
T11280	1	1	P_1273	33	1643585288	P_1375_1
T11281	1	1	P_197	33	1643585416	P_1299,P_1297_1
T11287	1	1	P_1132	33	1643585628	P_1299,P_1297_1
T11289	2	1	P_828	33	1643585785	P_1375_1
T11283	1	1	P_405	33	1643585795	P_1299,P_1297_1
T11286	1	1	P_1046	33	1643585896	P_1299,P_1297_1
