aid	aircrafttype	tasktype	standpointid	runwayid	startime	P
T7839	2	1	P_1483	15	1642878327	P_572_1,P_575_1
T19401	2	0	P_1426	15	1642878577	P_1227
T7840	1	1	P_1452	15	1642878782	P_572_1,P_575_1
T7841	1	1	P_1453	15	1642879194	P_572_1,P_575_1
T19402	1	0	P_1485	15	1642879364	P_1532
T19403	2	0	P_1351	15	1642879594	P_1544
T19404	2	0	P_319	15	1642879947	P_1544
T7842	1	1	P_1455	15	1642880236	P_572_1,P_575_1
T19405	2	0	P_1480	15	1642880290	P_1227
T19406	2	0	P_1427	15	1642880535	P_1227
T19407	1	0	P_1511	15	1642880767	P_1532
T19408	1	0	P_1452	15	1642880990	P_1532
T7844	2	1	P_1357	15	1642881103	P_565_1,P_563_1
T7843	2	1	P_828	15	1642881238	P_572_1,P_575_1
T19409	1	0	P_946	15	1642881405	P_1532
T7845	1	1	P_1509	15	1642881879	P_572_1,P_575_1
T19410	2	0	P_831	15	1642882577	P_1227
T19411	1	0	P_957	15	1642882977	P_1532
T19412	1	0	P_1486	15	1642883253	P_1532
T19413	1	0	P_791	15	1642883385	P_1532
T19414	1	0	P_1478	15	1642883575	P_1532
T19415	1	0	P_1510	15	1642883770	P_1532
T19416	1	0	P_1483	15	1642883947	P_1532
T19417	1	0	P_1425	15	1642884132	P_1532
T7846	1	1	P_1499	15	1642884347	P_572_1,P_575_1
T7847	1	1	P_946	15	1642885622	P_572_1,P_575_1
T7848	1	1	P_1511	15	1642885637	P_572_1,P_575_1
T7849	2	1	P_1272	15	1642885667	P_572_1,P_575_1
T7850	1	1	P_1452	15	1642886203	P_572_1,P_575_1
T7851	2	1	P_1480	15	1642886743	P_572_1,P_575_1
T7853	2	1	P_1351	16	1642886824	P_5_1,P_11
T7855	1	1	P_957	15	1642886965	P_572_1,P_575_1
T19418	2	0	P_1508	15	1642886981	P_1227
T7852	1	1	P_791	15	1642887123	P_572_1,P_575_1
T7854	1	1	P_1485	15	1642887586	P_572_1,P_575_1
T7858	1	1	P_1478	15	1642887605	P_572_1,P_575_1
T7856	1	1	P_1128	15	1642887735	P_565_1,P_563_1
T7859	1	1	P_1486	15	1642887943	P_572_1,P_575_1
T7862	2	1	P_1402	15	1642888141	P_572_1,P_575_1
T7861	1	1	P_1510	15	1642888269	P_572_1,P_575_1
T7863	2	1	P_1426	15	1642888337	P_572_1,P_575_1
T7857	1	1	P_308	15	1642888432	P_565_1,P_563_1
T19419	1	0	P_1499	15	1642888461	P_1532
T19420	1	0	P_1455	15	1642888675	P_1532
T7860	1	1	P_311	15	1642888682	P_565_1,P_563_1
T7865	1	1	P_412	15	1642888739	P_565_1,P_563_1
