aid	aircrafttype	tasktype	standpointid	runwayid	startime	P
T21896	2	0	P_1509	16	1643397180	P_1037
T10336	1	1	P_1453	16	1643397277	P_5_1,P_11
T21897	1	0	P_831	16	1643397498	P_1037
T10337	2	1	P_1426	16	1643398392	P_5_1,P_11
T21898	1	0	P_1499	16	1643398731	P_1037
T10338	2	1	P_1273	16	1643398779	P_5_1,P_11
T21899	1	0	P_1511	16	1643398937	P_1037
T21900	1	0	P_1452	16	1643399121	P_1037
T10339	1	1	P_1485	16	1643399657	P_5_1,P_11
T21901	1	0	P_1486	16	1643400062	P_505
T21902	2	0	P_824	16	1643400302	P_1033
T10340	2	1	P_835	34	1643400555	P_1118,P_1110_1
T10341	1	1	P_1510	34	1643401248	P_1118,P_1110_1
T21903	1	0	P_1453	34	1643402258	P_34
T10342	2	1	P_1425	34	1643402761	P_1118,P_1110_1
T21904	1	0	P_946	34	1643402947	P_34
T10343	2	1	P_1403	34	1643403092	P_1118,P_1110_1
T21905	1	0	P_1510	34	1643403261	P_39
T10344	1	1	P_1499	34	1643403453	P_1118,P_1110_1
T21906	1	0	P_1485	34	1643403495	P_34
T10345	1	1	P_1511	34	1643404067	P_1118,P_1110_1
T10346	1	1	P_1486	34	1643404535	P_1118,P_1110_1
T10347	2	1	P_1509	34	1643405157	P_1118,P_1110_1
T21907	1	0	P_1499	34	1643405450	P_34
T10348	1	1	P_1452	34	1643405708	P_1118,P_1110_1
T21908	1	0	P_1235	34	1643406218	P_39
T10349	1	1	P_1453	33	1643406245	P_1375_1
T10350	1	1	P_946	33	1643406829	P_1375_1
T10357	1	1	P_1454	33	1643406898	P_1375_1
T10351	2	1	P_823	33	1643406945	P_1375_1
T10354	1	1	P_301	33	1643406977	P_1299,P_1297_1
T10352	1	1	P_310	33	1643407074	P_1299,P_1297_1
