aid	aircrafttype	tasktype	standpointid	runwayid	startime	P
T20424	1	0	P_195	34	1643115656	P_34
T20425	1	0	P_304	34	1643115789	P_34
T8931	1	1	P_205	33	1643115814	P_1299,P_1297_1
T8933	1	1	P_280	33	1643115822	P_1299,P_1297_1
T8932	1	1	P_267	33	1643115830	P_1299,P_1297_1
T8930	1	1	P_198	33	1643115875	P_1299,P_1297_1
T20426	2	0	P_306	34	1643115891	P_21
T20427	1	0	P_196	34	1643116042	P_34
T20428	1	0	P_197	34	1643116243	P_34
T8934	1	1	P_276	33	1643116304	P_1299,P_1297_1
T20429	1	0	P_266	33	1643116353	P_1163
T20430	1	0	P_307	34	1643116486	P_34
T8935	1	1	P_278	33	1643116543	P_1299,P_1297_1
T20431	1	0	P_96	33	1643116724	P_1163
T8936	1	1	P_268	33	1643116744	P_1299,P_1297_1
T20432	1	0	P_521	34	1643116861	P_34
T8938	2	1	P_835	33	1643116944	P_1375_1
T8937	1	1	P_263	33	1643116998	P_1299,P_1297_1
T20433	1	0	P_1132	34	1643117073	P_34
T20434	1	0	P_520	33	1643117241	P_1163
T8939	1	1	P_265	33	1643117325	P_1299,P_1297_1
T20435	1	0	P_103	34	1643117380	P_34
T20436	1	0	P_230	33	1643117535	P_1163
T20437	1	0	P_1129	34	1643117739	P_34
T20438	1	0	P_127	33	1643117844	P_1163
T8940	1	1	P_1130	33	1643117918	P_1299,P_1297_1
T20439	1	0	P_106	34	1643117974	P_34
T20440	1	0	P_277	33	1643118083	P_1163
T20441	1	0	P_109	34	1643118196	P_34
T8941	1	1	P_275	33	1643118205	P_1299,P_1297_1
T20442	1	0	P_280	33	1643118378	P_1163
T20443	1	0	P_403	34	1643118493	P_34
T20444	1	0	P_263	33	1643118622	P_1151
T8942	1	1	P_299	33	1643118629	P_1299,P_1297_1
T20445	1	0	P_118	34	1643118729	P_39
T20446	1	0	P_278	34	1643118839	P_39
T8944	1	1	P_269	33	1643118868	P_1299,P_1297_1
T8943	1	1	P_300	33	1643118948	P_1299,P_1297_1
T20447	1	0	P_313	34	1643119032	P_34
T20448	1	0	P_276	34	1643119143	P_34
T20449	1	0	P_1235	33	1643119278	P_912
T8945	1	1	P_312	33	1643119366	P_1299,P_1297_1
T20450	1	0	P_303	34	1643119395	P_34
T8946	1	1	P_202	33	1643119438	P_1299,P_1297_1
T20451	1	0	P_1127	34	1643119509	P_34
T20452	1	0	P_405	34	1643119630	P_39
T8948	1	1	P_271	33	1643119760	P_1299,P_1297_1
T20453	1	0	P_1193	34	1643119774	P_34
T20454	1	0	P_267	34	1643119887	P_34
T8947	1	1	P_196	33	1643119943	P_1299,P_1297_1
T20455	1	0	P_309	34	1643120018	P_34
T8950	1	1	P_319	33	1643120115	P_1299,P_1297_1
T20456	1	0	P_1399	34	1643120154	P_34
T20457	1	0	P_412	34	1643120317	P_34
T20458	1	0	P_1244	33	1643120428	P_912
T8949	1	1	P_195	33	1643120512	P_1299,P_1297_1
T20459	1	0	P_860	34	1643120554	P_34
T8951	1	1	P_304	33	1643120555	P_1299,P_1297_1
T8952	2	1	P_1357	33	1643120644	P_1299,P_1297_1
T20460	1	0	P_1208	33	1643120668	P_912
T20461	1	0	P_408	34	1643120809	P_34
T20462	1	0	P_787	34	1643120955	P_34
T20463	1	0	P_1005	34	1643121104	P_34
T20464	1	0	P_302	34	1643121261	P_34
T20465	1	0	P_1126	34	1643121361	P_34
T8953	1	1	P_317	33	1643121445	P_1299,P_1297_1
T20466	1	0	P_312	34	1643121477	P_34
T20467	1	0	P_101	34	1643121589	P_39
T20468	1	0	P_310	34	1643121721	P_34
T20469	1	0	P_311	34	1643121842	P_34
T20470	1	0	P_198	34	1643121971	P_34
T20471	2	0	P_1480	33	1643122111	P_998
T8954	1	1	P_307	33	1643122131	P_1299,P_1297_1
T20472	2	0	P_605	33	1643122375	P_998
T8955	1	1	P_1406	33	1643122500	P_1375_1
T8956	1	1	P_313	33	1643122602	P_1299,P_1297_1
T20473	1	0	P_856	33	1643122764	P_912
T20474	1	0	P_206	34	1643122923	P_39
T20475	1	0	P_300	34	1643123087	P_39
T20476	1	0	P_305	34	1643123196	P_34
T20477	2	0	P_307	34	1643123334	P_21
T8957	1	1	P_1452	33	1643123449	P_1375_1
T20478	1	0	P_200	34	1643123471	P_34
T20479	2	0	P_1130	34	1643123602	P_21
T20480	1	0	P_858	33	1643123728	P_912
T20481	1	0	P_205	34	1643123868	P_34
T8958	1	1	P_1522	33	1643123874	P_1375_1
T8959	1	1	P_303	33	1643123887	P_1299,P_1297_1
T20482	1	0	P_1014	34	1643124017	P_34
T8960	1	1	P_276	33	1643124033	P_1299,P_1297_1
T20483	1	0	P_299	34	1643124153	P_34
T8961	1	1	P_199	33	1643124239	P_1299,P_1297_1
T20484	2	0	P_1131	34	1643124266	P_34
T20485	1	0	P_1344	33	1643124381	P_1151
T20486	1	0	P_195	34	1643124525	P_34
T20487	1	0	P_410	34	1643124672	P_34
